block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
19287300,1.05E+18,1.00E+18,1.11E+18,1.09E+18
19288500,1.05E+18,1.00E+18,1.11E+18,1.09E+18
19289700,1.05E+18,1.00E+18,1.11E+18,1.10E+18
19290900,1.05E+18,1.00E+18,1.11E+18,1.10E+18
19292100,1.05E+18,1.00E+18,1.11E+18,1.10E+18
19293300,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19294500,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19295700,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19296900,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19298100,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19299300,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19300500,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19301700,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19302900,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19304100,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19305300,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19306500,1.05E+18,1.00E+18,1.11E+18,1.11E+18
19307700,1.05E+18,1.00E+18,1.12E+18,1.11E+18
19308900,1.05E+18,1.00E+18,1.12E+18,1.11E+18
19310100,1.05E+18,1.00E+18,1.12E+18,1.11E+18
19311300,1.05E+18,1.00E+18,1.12E+18,1.11E+18
19312500,1.05E+18,1.00E+18,1.12E+18,1.11E+18
